cell_path,state,pkl_path,status,reason,tv_len,n_true,sp_max,n_dropped_indices,changed_keys
Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC40\R\18-08-2025-ans\fov1\cell0,main,Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC40\R\18-08-2025-ans\fov1\cell0\spike_detection_refined_new_rm_complex_highplateau.pkl,no_change,already_full_index,59992.0,59992.0,59889.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC40\R\18-08-2025-ans\fov2\cell1,main,Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC40\R\18-08-2025-ans\fov2\cell1\spike_detection_refined_new_rm_complex_highplateau.pkl,no_change,already_full_index,59999.0,59999.0,59543.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC40\L\18-08-2025-ans\fov6\cell0,main,Z:\Adam-Lab-Shared\Data\Michal_Rubin\RUGC40\L\18-08-2025-ans\fov6\cell0\spike_detection_refined_new_rm_complex_highplateau.pkl,no_change,already_full_index,59999.0,59999.0,59471.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc41\l\20-08-25-ans\cell0,main,Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc41\l\20-08-25-ans\cell0\spike_detection_refined_new_rm_complex_highplateau.pkl,no_change,already_full_index,59999.0,59999.0,59829.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc42\Wh\17-09-2025-rugc42-wh-s1-ans\fov1\2\cell0,main,Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc42\Wh\17-09-2025-rugc42-wh-s1-ans\fov1\2\cell0\spike_detection_refined_new_rm_complex_highplateau.pkl,no_change,already_full_index,59999.0,59999.0,59347.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc41\RW\30-09-2025-MOTOR\FOV1\cell1,m0,Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc41\RW\30-09-2025-MOTOR\FOV1\cell1\spike_detection_refined_newm0_rm_complex_highplateau.pkl,no_change,already_full_index,12987.0,12987.0,12981.0,,
Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc41\RW\30-09-2025-MOTOR\FOV1\cell1,r0,Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc41\RW\30-09-2025-MOTOR\FOV1\cell1\spike_detection_refined_newr0_rm_complex_highplateau.pkl,rewritten,remapped_compact_to_full,7359.0,7358.0,7300.0,0.0,vm_all_spikes;vm_complex_spikes;vm_plateaus_dict.ends;vm_plateaus_dict.locs;vm_plateaus_dict.spike_indices;vm_plateaus_dict.starts;vm_simple_spikes
Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc41\RW\30-09-2025-MOTOR\FOV1\cell1,m1,Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc41\RW\30-09-2025-MOTOR\FOV1\cell1\spike_detection_refined_newm1_rm_complex_highplateau.pkl,rewritten,remapped_compact_to_full,15781.0,15780.0,15777.0,0.0,vm_all_spikes;vm_complex_spikes;vm_plateaus_dict.ends;vm_plateaus_dict.locs;vm_plateaus_dict.spike_indices;vm_plateaus_dict.starts;vm_simple_spikes
Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc41\RW\30-09-2025-MOTOR\FOV1\cell1,r1,Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc41\RW\30-09-2025-MOTOR\FOV1\cell1\spike_detection_refined_newr1_rm_complex_highplateau.pkl,rewritten,remapped_compact_to_full,15058.0,15057.0,14963.0,0.0,vm_all_spikes;vm_complex_spikes;vm_plateaus_dict.ends;vm_plateaus_dict.locs;vm_plateaus_dict.spike_indices;vm_plateaus_dict.starts;vm_simple_spikes
Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc42\RL-REAL\FOV1\cell4,main,Z:\Adam-Lab-Shared\Data\Michal_Rubin\rugc42\RL-REAL\FOV1\cell4\spike_detection_refined_new_rm_complex_highplateau.pkl,no_change,already_full_index,59998.0,59998.0,59691.0,,
